Feed Processing Summary:
   Total records processed	  2088
   Rejected               	 - 102
                          	=======
   Accepted               	  1986

original-record-number	sku	error-code	error-type	error-message
1528	TONER-Panasonic-KX-FATK509	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Panasonic-KX-FATK509.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1529	TONER-Panasonic-KX-FATM507	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Panasonic-KX-FATM507.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
153	INK-Canon-BCI-8M	99037	Warning	The "UPC" (00750845722833) field contains an invalid value.
1530	TONER-Panasonic-KX-FATY508	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Panasonic-KX-FATY508.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
154	INK-Canon-BCI-8PBK	99037	Warning	The "UPC" (00750845723502) field contains an invalid value.
155	INK-Canon-BCI-8PC	99037	Warning	The "UPC" (00750845722871) field contains an invalid value.
156	INK-Canon-BCI-8PM	99037	Warning	The "UPC" (00750845722864) field contains an invalid value.
157	INK-Canon-BCI-8WF	99037	Warning	The "UPC" (00750845722802) field contains an invalid value.
158	INK-Canon-BCI-8Y	99037	Warning	The "UPC" (00750845722826) field contains an invalid value.
1586	TONER-Samsung-ML-5000D5	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Samsung-ML-5000D5.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1588	TONER-Samsung-ML-7000D8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Samsung-ML-7000D8.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1589	TONER-Samsung-ML-7300DA	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Samsung-ML-7300DA.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
159	INK-Canon-BJI-201C-HC	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 95, actual height of image submitted 93 
159	INK-Canon-BJI-201C-HC	99037	Warning	The "UPC" (00750845720020) field contains an invalid value.
160	INK-Canon-BJI-201M-HC	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 89, actual height of image submitted 97 
160	INK-Canon-BJI-201M-HC	99037	Warning	The "UPC" (00750845720037) field contains an invalid value.
161	INK-Canon-BJI-201Y-HC	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 91, actual height of image submitted 93 
161	INK-Canon-BJI-201Y-HC	99037	Warning	The "UPC" (00750845720044) field contains an invalid value.
1614	TONER-Samsung-SF-550D3	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Samsung-SF-550D3.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
162	INK-Canon-BJI-642BK	99037	Warning	The "UPC" (00038569405004) field contains an invalid value.
163	INK-Canon-BJI-643BK	99037	Warning	The "UPC" (00038569419995) field contains an invalid value.
164	INK-Canon-BJI-643C	99037	Warning	The "UPC" (00038569419988) field contains an invalid value.
165	INK-Canon-BJI-643M	99037	Warning	The "UPC" (00038569419971) field contains an invalid value.
166	INK-Canon-BJI-643Y	99037	Warning	The "UPC" (00038569419964) field contains an invalid value.
167	INK-Canon-BX-3	99037	Warning	The "UPC" (00030275063714) field contains an invalid value.
168	INK-Canon-CL-211	8542	Error	SKU INK-Canon-CL-211, (ASIN B00C9KCLBA, (part_number Merchant: 'CL-211' / Amazon: 'AAC0002-CNM2976B001')), (ASIN B001DJ86CQ, (part_number Merchant: 'CL-211' / Amazon: '2976B001')), (ASIN B00GCUE2FG, (part_number Merchant: 'CL-211' / Amazon: '2976B001AA')), (ASIN B00BT2MWT0, (part_number Merchant: 'CL-211' / Amazon: '2976B001')). The product_id submitted with INK-Canon-CL-211 corresponds to multiple ASINs (B00C9KCLBA, B001DJ86CQ, B00GCUE2FG, B00BT2MWT0) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1733	WINK-BROTHER-LC41-Combo40	99037	Warning	The "UPC" (00012502610946) field contains an invalid value.
1739	WINK-Canon-PGI5CLI8-Combo50	99037	Warning	The "UPC" (00013803051056) field contains an invalid value.
1749	ZINK-BROTHER-LC51-Combo10	8542	Error	SKU ZINK-BROTHER-LC51-Combo10, (ASIN B00BN6YGL4, (part_number Merchant: 'LC51-Combo10' / Amazon: 'LC51BK')), (ASIN B002VLD9E0, (part_number Merchant: 'LC51-Combo10' / Amazon: 'LC51BK3PKS')), (ASIN B00AT4BZJM, (part_number Merchant: 'LC51-Combo10' / Amazon: 'LC51BK')), (ASIN B000GFV00I, (part_number Merchant: 'LC51-Combo10' / Amazon: 'LC51BK')), (ASIN B00GCU2XJI, (part_number Merchant: 'LC51-Combo10' / Amazon: 'LC-51BK')). The product_id submitted with ZINK-BROTHER-LC51-Combo10 corresponds to multiple ASINs (B00BN6YGL4, B002VLD9E0, B00AT4BZJM, B000GFV00I, B00GCU2XJI) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
175	INK-Canon-CLI-221BK	8542	Error	SKU INK-Canon-CLI-221BK, (ASIN B000J1F028, (part_number Merchant: 'CLI-221BK' / Amazon: '6646A007AA')), (ASIN B00BT2N28A, (part_number Merchant: 'CLI-221BK' / Amazon: 'CNM2946B001US')), (ASIN B0045K5HAE, (part_number Merchant: 'CLI-221BK' / Amazon: '2946B001')), (ASIN B008OTCKDO, (part_number Merchant: 'CLI-221BK' / Amazon: 'UTCNM2946B001')), (ASIN B001CSO794, (part_number Merchant: 'CLI-221BK' / Amazon: '2946B001')). The product_id submitted with INK-Canon-CLI-221BK corresponds to multiple ASINs (B000J1F028, B00BT2N28A, B0045K5HAE, B008OTCKDO, B001CSO794) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1750	ZINK-BROTHER-LC51-Combo4	8542	Error	SKU ZINK-BROTHER-LC51-Combo4, (ASIN B00BTAIPXE, (part_number Merchant: 'LC51-Combo4' / Amazon: 'LC51BK')), (ASIN B002VLD9E0, (part_number Merchant: 'LC51-Combo4' / Amazon: 'LC51BK3PKS')), (ASIN B00AT4BZJM, (part_number Merchant: 'LC51-Combo4' / Amazon: 'LC51BK')), (ASIN B000GFV00I, (part_number Merchant: 'LC51-Combo4' / Amazon: 'LC51BK')), (ASIN B00GCU2XJI, (part_number Merchant: 'LC51-Combo4' / Amazon: 'LC-51BK')). The product_id submitted with ZINK-BROTHER-LC51-Combo4 corresponds to multiple ASINs (B00BTAIPXE, B002VLD9E0, B00AT4BZJM, B000GFV00I, B00GCU2XJI) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1751	ZINK-BROTHER-LC61-Combo10	8542	Error	SKU ZINK-BROTHER-LC61-Combo10, (ASIN B001C08J1E, (part_number Merchant: 'LC61-Combo10' / Amazon: 'LC61BK')), (ASIN B00GCU3BSU, (part_number Merchant: 'LC61-Combo10' / Amazon: 'LC-61BK')), (ASIN B00A8PFI4A, (part_number Merchant: 'LC61-Combo10' / Amazon: 'LC61BK')), (ASIN B00AT4C3H0, (part_number Merchant: 'LC61-Combo10' / Amazon: 'LC61BK')). The product_id submitted with ZINK-BROTHER-LC61-Combo10 corresponds to multiple ASINs (B001C08J1E, B00GCU3BSU, B00A8PFI4A, B00AT4C3H0) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1752	ZINK-BROTHER-LC61-Combo4	8542	Error	SKU ZINK-BROTHER-LC61-Combo4, (ASIN B001C08J1E, (part_number Merchant: 'LC61-Combo4' / Amazon: 'LC61BK')), (ASIN B00GCU3BSU, (part_number Merchant: 'LC61-Combo4' / Amazon: 'LC-61BK')), (ASIN B00AT4C3H0, (part_number Merchant: 'LC61-Combo4' / Amazon: 'LC61BK')), (ASIN B00BS5XZLC, (part_number Merchant: 'LC61-Combo4' / Amazon: 'LC61BK')). The product_id submitted with ZINK-BROTHER-LC61-Combo4 corresponds to multiple ASINs (B001C08J1E, B00GCU3BSU, B00AT4C3H0, B00BS5XZLC) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1764	ZINK-Canon-PG-240-Combo2	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/ZINK-Canon-PG-240-Combo2.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1765	ZINK-Canon-PG-240XL-Combo2	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/ZINK-Canon-PG-240XL-Combo2.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
