Feed Processing Summary:
   Total records processed	 2104
   Rejected               	 - 20
                          	======
   Accepted               	 2084

original-record-number	sku	error-code	error-type	error-message
156	INK-HP-C6658AN	90117	Warning	The Description field contains an invalid value: Product InfoHewlett Packard (HP 58) Photo Color Replacement Printer Ink CartridgeWe carry a varie... The value exceeds the maximum number of characters allowed: 2000.
156	INK-HP-C6658AN	99037	Warning	The "UPC" (00808736152549) field contains an invalid value.
1568	SPEC-Canon-BCI-3eBK-6-Combo12	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Canon-BCI-3eBK-6-Combo12-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1569	SPEC-Canon-BCI-3eBK-6-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Canon-BCI-3eBK-6-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1570	SPEC-BROTHER-LC41-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-BROTHER-LC41-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1571	SPEC-BROTHER-LC75-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-BROTHER-LC75-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1572	SPEC-BROTHER-LC79-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-BROTHER-LC79-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
16	INK-Lexmark-18L0032	99037	Warning	The "UPC" (00734646476133) field contains an invalid value.
160	INK-HP-C8766WN	90117	Warning	The Description field contains an invalid value: Product InfoHP 95 - C8766WN (Compatible) Tri-Color Ink CartridgeWe carry a variety of Replacement... The value exceeds the maximum number of characters allowed: 2000.
1613	ZINK-HP-74-75-Combo2	90117	Warning	The Description field contains an invalid value: Product InfoWe carry a variety of Replacement Inkjet Cartridges models at the discount price with... The value exceeds the maximum number of characters allowed: 2000.
1614	ZINK-HP-74-75-Combo3	90117	Warning	The Description field contains an invalid value: Product InfoWe carry a variety of Replacement Inkjet Cartridges models at the discount price with... The value exceeds the maximum number of characters allowed: 2000.
1615	ZINK-HP-74-75-Combo5	90117	Warning	The Description field contains an invalid value: Product InfoBest Price on HP 75XL Ink & HP 74XL Cartridge Combo PackThis replacement HP cartridge... The value exceeds the maximum number of characters allowed: 2000.
1624	ZINK-Canon-PG-40-CL-41-Combo3	8542	Error	SKU ZINK-Canon-PG-40-CL-41-Combo3, (ASIN B00GCWXK02, (part_number Merchant: 'PG-40 CL-41' / Amazon: '0615B002')), (ASIN B000A2BJ44, (part_number Merchant: 'PG-40 CL-41' / Amazon: '0615B002')). The product_id submitted with ZINK-Canon-PG-40-CL-41-Combo3 corresponds to multiple ASINs (B00GCWXK02, B000A2BJ44) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
