Unique Product Identifier	Manufacturer	Manufacturer Part #	Product Name	Description	Price	Click-out URL	NexTag Product Cat.	Image URL	Stock Status	Product Condition	Ground Shipping	Weight	Promo Type	Promo Text	List Price	Coupon Code Discount	Coupon URL Discount	Cost-per-Click
PH-4x6-GLOSSY-20PK	Generic	4x6-GLOSSY-20PK	Premium 4x6 Glossy Inkjet Photo Paper - 20 sheets	Premium Glossy Inkjet Photo Paper (4"X6") 20 sheets - Resin Coated	1.7900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-GLOSSY-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.18125	free shipping	Free Shipping on orders over $50.00	2.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-LUSTRE-100PK	Generic	4x6-LUSTRE-100PK	Premium 4x6 Lustre Inkjet Photo Paper - 100 sheets	Premium Lustre Inkjet Photo Paper (4"X6") 100 sheets - Resin Coated	6.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-LUSTRE-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	0.94375	free shipping	Free Shipping on orders over $50.00	14.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-LUSTRE-20PK	Generic	4x6-LUSTRE-20PK	Premium 4x6 Lustre Inkjet Photo Paper - 20 sheets	Premium Lustre Inkjet Photo Paper (4"X6") 20 sheets - Resin Coated	1.7900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-LUSTRE-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.19375	free shipping	Free Shipping on orders over $50.00	2.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-MATTE-100PK	Generic	4x6-MATTE-100PK	Premium 4x6 Matte Inkjet Photo Paper - 100 sheets	Premium Matte Inkjet Photo Paper (4"X6") 100 sheets - Resin Coated	6.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-MATTE-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	0.95625	free shipping	Free Shipping on orders over $50.00	14.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-MATTE-20PK	Generic	4x6-MATTE-20PK	Premium 4x6 Matte Inkjet Photo Paper - 20 sheets	Premium Matte Inkjet Photo Paper (4"X6") 20 sheets - Resin Coated	1.7900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-MATTE-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.1875	free shipping	Free Shipping on orders over $50.00	2.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-5x7-CANVAS-100PK	Generic	5x7-CANVAS-100PK	Premium 5 x 7 Canvas Inkjet Photo Paper 100 sheets	Premium Canvas Textured Inkjet Photo Paper (5"X7") 100 sheets - Resin Coated	14.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-5x7-CANVAS-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	1.4125	free shipping	Free Shipping on orders over $50.00	39.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-5x7-CANVAS-20PK	Generic	5x7-CANVAS-20PK	Premium 5 x 7 Canvas Inkjet Photo Paper 20 sheets	Premium Canvas Textured Inkjet Photo Paper (5"X7") 20 sheets - Resin Coated	3.4900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-5x7-CANVAS-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.28125	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-5x7-GLOSSY-100PK	Generic	5x7-GLOSSY-100PK	Premium 5 x 7 Glossy Inkjet Photo Paper 100 sheets	Premium Glossy Inkjet Photo Paper (5"X7") 100 sheets - Resin Coated	14.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-5x7-GLOSSY-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	1.375	free shipping	Free Shipping on orders over $50.00	39.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-5x7-GLOSSY-20PK	Generic	5x7-GLOSSY-20PK	Premium 5 x 7 Glossy Inkjet Photo Paper 20 sheets	Premium Glossy Inkjet Photo Paper (5"X7") 20 sheets - Resin Coated	3.4900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-5x7-GLOSSY-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.275	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-5x7-LUSTRE-100PK	Generic	5x7-LUSTRE-100PK	Premium 5 x 7 Lustre Inkjet Photo Paper 100 sheets	Premium Lustre Inkjet Photo Paper (5"X7") 100 sheets - Resin Coated	14.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-5x7-LUSTRE-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	1.38125	free shipping	Free Shipping on orders over $50.00	39.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
